['Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000']
         429340 function calls (414617 primitive calls) in 6.025 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2836    0.000    0.000    0.000    0.000 element.py:1499(__bool__)
        1    0.000    0.000    0.000    0.000 error.py:12(<module>)
     1199    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      475    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 request.py:2489(getproxies_environment)
     1268    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
     2485    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 parse.py:990(splithost)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
     1267    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      322    0.000    0.000    0.000    0.000 enum.py:531(__new__)
     2562    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      123    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:173(feed)
      123    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _html5lib.py:2(<module>)
      108    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        2    0.000    0.000    0.000    0.000 feedparser.py:178(_call_parse)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     1590    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
       62    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
      728    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       36    0.000    0.000    0.000    0.000 element.py:1985(__init__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       34    0.000    0.000    0.000    0.000 enum.py:835(__or__)
        1    0.000    0.000    0.000    0.000 css_types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:977(splittype)
       38    0.000    0.000    0.000    0.000 element.py:275(get_text)
      970    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1347    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      469    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      436    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
      199    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
     2011    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
     1362    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _lxml.py:2(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       38    0.000    0.000    0.000    0.000 element.py:294(<listcomp>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
       76    0.000    0.000    0.000    0.000 element.py:1330(_all_strings)
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       13    0.000    0.000    0.000    0.000 enum.py:130(__prepare__)
     1452    0.000    0.000    0.000    0.000 ssl.py:908(_checkClosed)
      204    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      246    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        1    0.000    0.000    0.000    0.000 client.py:408(_close_conn)
       36    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
        2    0.000    0.000    0.000    0.000 element.py:1518(__getattr__)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 socket.py:652(close)
      868    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      438    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       61    0.000    0.000    0.000    0.000 os.py:676(__getitem__)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      870    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      165    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
